,Type,AltCategory,Category
0,biofuel,Renewable,Renewable
1,coal,Non-Renewable,Fossil Fuel
2,fossil,Non-Renewable,Fossil Fuel
3,fossil_fuel,Non-Renewable,Fossil Fuel
4,gas,Non-Renewable,Fossil Fuel
5,hydro,Renewable,Hydroelectric
6,low_carbon,Non-Renewable,Low-Carbon
7,nuclear,Non-Renewable,Nuclear
8,oil,Non-Renewable,Fossil Fuel
9,other_renewable,Renewable,Other Renewable
10,renewables,Renewable,Renewable Energy
11,solar,Renewable,Solar
12,wind,Renewable,Wind
